Serial No.,Session ID:,Timestamp (UTC),Country,Age,Gender,Education,Education Type,Mood,Tiredness,Interests,Selection,Time,File Name,URL,Video_ID,Browser,Screen Size,OS,Height,Width,FPS,Aspect Ratio,Bitrate (Kbps),File Size (MB),PROLIFIC_PID
1,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:21:56 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Good,"2400 ms",config.xlsx,S_9_V30_80.mp4,20,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,1935,4.62,67276dbe692855fb2502a266
2,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:22:21 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Excellent,"3200 ms",config.xlsx,S_22_V50_100.mp4,51,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,23450,56.05,67276dbe692855fb2502a266
3,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:22:47 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Fair,"5400 ms",config.xlsx,S_23_V80_30.mp4,54,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,1513,3.62,67276dbe692855fb2502a266
4,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:23:09 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Good,"1700 ms",config.xlsx,S_6_V50_100.mp4,13,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,11254,25.60,67276dbe692855fb2502a266
5,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:23:27 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Fair,"1200 ms",config.xlsx,S_3_V30_80.mp4,6,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,2341,4.46,67276dbe692855fb2502a266
6,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:23:45 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Poor,"5600 ms",config.xlsx,L_22_V30_80.mp4,75,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,3053,21.86,5c83dfef72a7ef00107828b5
7,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:23:54 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Good,"1000 ms",config.xlsx,S_1_V100_50.mp4,3,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,11622,34.12,67276dbe692855fb2502a266
8,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:24:10 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Good,"7600 ms",config.xlsx,S_3_V50_100.mp4,8,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,8236,15.70,5c83dfef72a7ef00107828b5
9,b631cdb7a49f768b77b9e674ff5d91c0,"Tuesday 11th of February 2025 01:24:50 PM UTC",Hungary,"19 to 30",Male,Undergraduate,"Engineering and Technology","Positive (+)",Low,Electronics,Poor,"1600 ms",config.xlsx,L_25_V80_30.mp4,77,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,1556,10.05,67276dbe692855fb2502a266
10,ac7116c6aadad59278bc3704785de6b9,"Tuesday 11th of February 2025 01:24:59 PM UTC",Estonia,"Above 45",Male,Undergraduate,Artistic,"Neutral (0)",Low,Art,Bad,"4800 ms",config.xlsx,L_5_V50_100.mp4,64,"Chrome 132.0.0.0","1920 X 1080",Windows,1080,1920,60,16:9,3949,20.07,5c83dfef72a7ef00107828b5
