Serial No.,Session ID:,Timestamp (UTC),Country,Age,Gender,Education,Education Type,Mood,Tiredness,Interests,Selection,Time,File Name,URL,Video_ID,Browser,Screen Size,OS,Height,Width,FPS,Aspect Ratio,Bitrate (Kbps),File Size (MB),PROLIFIC_PID
1,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:36:08 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Fair,"5700 ms",config.xlsx,S_19_ProfileC50.mp4,1,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,3423,8.16,63d3f928e97451dbc1c745da
2,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:36:36 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Fair,"2200 ms",config.xlsx,S_1_ProfileC50.mp4,2,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,1571,4.60,63d3f928e97451dbc1c745da
3,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:36:58 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Poor,"1100 ms",config.xlsx,S_16_ProfileC30.mp4,3,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,966,2.31,63d3f928e97451dbc1c745da
4,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:37:20 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Good,"1400 ms",config.xlsx,S_19_ProfileC90.mp4,4,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,22810,54.41,63d3f928e97451dbc1c745da
5,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:37:40 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Bad,"1100 ms",config.xlsx,S_2_ProfileC30.mp4,5,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,493,1.12,63d3f928e97451dbc1c745da
6,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:38:02 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Good,"1100 ms",config.xlsx,S_10_ProfileC70.mp4,6,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,2106,5.02,63d3f928e97451dbc1c745da
7,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:38:24 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Bad,"1100 ms",config.xlsx,S_12_ProfileC30.mp4,7,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,1011,2.41,63d3f928e97451dbc1c745da
8,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:38:40 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Poor,"1200 ms",config.xlsx,S_26_ProfileC70.mp4,8,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,3452,5.81,63d3f928e97451dbc1c745da
9,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:39:02 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Good,"1300 ms",config.xlsx,S_16_ProfileC70.mp4,9,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,4282,10.21,63d3f928e97451dbc1c745da
10,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:39:27 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Good,"4400 ms",config.xlsx,S_21_ProfileC90.mp4,10,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,16265,38.80,63d3f928e97451dbc1c745da
11,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:39:48 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Bad,"1100 ms",config.xlsx,S_24_ProfileC30.mp4,11,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,615,1.47,63d3f928e97451dbc1c745da
12,0373e037dd369820396251db67663bc2,"Sunday 23rd of February 2025 02:40:10 PM UTC","United Kingdom","19 to 30",Male,Undergraduate,"Engineering and Technology","Neutral (0)",Low,Art,Poor,"1000 ms",config.xlsx,S_20_ProfileC30.mp4,12,"Chrome 133.0.0.0","1920 X 1080",Windows,1080,1920,144,16:9,2153,5.14,63d3f928e97451dbc1c745da
